hit-ratio,ndcq,window-size,epochs,sub-sample,negative-sampling-dist,embedding-size,negative-samples-size,learning-rate,mininum-count
0.065125591554423,0.022746454956794043,3.0,5.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.06624110888199891,0.0253371703961642,3.0,5.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.09021779254337393,0.03290472225857859,3.0,5.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.12155954737274527,0.04242438608617857,3.0,5.0,0.1,0.75,50.0,5.0,0.025,5.0
0.12381558743118236,0.041538499122217284,3.0,5.0,0.001,0.75,50.0,5.0,0.025,5.0
0.13254006981719904,0.04564635247132805,5.0,5.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.13322783617798878,0.0446584341072505,5.0,5.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.1369826937547028,0.04657339126238844,3.0,5.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.14668870440629578,0.05224899959620917,3.0,25.0,0.001,0.75,50.0,5.0,0.025,5.0
0.14796380090497738,0.05232215315652196,3.0,25.0,0.1,0.75,50.0,5.0,0.025,5.0
0.15647774043726165,0.05448266107701264,3.0,25.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.15673993091143756,0.05280689868444184,5.0,5.0,0.1,0.75,50.0,5.0,0.025,5.0
0.15762815142051947,0.05292492187110875,5.0,5.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.15876939458472772,0.05259324273001229,5.0,5.0,0.001,0.75,50.0,5.0,0.025,5.0
0.1607569494482157,0.05652330960460018,3.0,25.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.16332726168791742,0.05782772237742216,3.0,25.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.16866369964623987,0.05876496786036916,3.0,25.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.17136087438376582,0.05722031616057247,5.0,5.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.177,0.058017310482739705,7.0,5.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.1779745476847593,0.06006058966639866,7.0,5.0,0.001,0.75,50.0,5.0,0.025,5.0
0.18041276661040356,0.06034019906960458,7.0,5.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.1808940741596396,0.06202889729002014,7.0,5.0,0.1,0.75,50.0,5.0,0.025,5.0
0.18635581884196445,0.0675819741636572,5.0,25.0,0.001,0.75,50.0,5.0,0.025,5.0
0.18774590320485884,0.06557803126386494,5.0,25.0,0.1,0.75,50.0,5.0,0.025,5.0
0.1892078335185682,0.06617246639128922,5.0,25.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.19108133971291866,0.06638957970939234,5.0,25.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.1916702082447939,0.06553068366492215,7.0,5.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.19262768661890456,0.06783416686238795,7.0,5.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.1941345600920069,0.06854931731815285,5.0,25.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.1989207939872808,0.06895229824641166,9.0,5.0,0.1,0.75,50.0,5.0,0.025,5.0
0.19960800891587563,0.06979670425768017,5.0,25.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.2025537530078398,0.06815829645769894,9.0,5.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.20266708016746782,0.07233402513665184,9.0,5.0,0.001,0.75,50.0,5.0,0.025,5.0
0.20466710308444683,0.0714034989648188,7.0,25.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.206851373742823,0.07174166764275065,7.0,25.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.20867920157522876,0.0743394936846176,9.0,5.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.21285407306114476,0.0705997849611666,9.0,5.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.2132398753894081,0.07327781994461234,9.0,5.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.21670463760281114,0.07607590925769742,7.0,25.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.22096886347832806,0.079440879815129,7.0,25.0,0.001,0.75,50.0,5.0,0.025,5.0
0.22306413577144624,0.07864387578738274,7.0,25.0,0.1,0.75,50.0,5.0,0.025,5.0
0.22544876516884427,0.08074711966488878,9.0,25.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.22688555056527798,0.0814368318100755,7.0,25.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.22880530111089456,0.07872722670256163,9.0,25.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.23448275862068965,0.08489069896470686,9.0,25.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.23993171413051914,0.08940920403621808,9.0,25.0,0.1,0.75,50.0,5.0,0.025,5.0
0.24396059729497302,0.08953347853978892,9.0,25.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.24703812316715543,0.08849889780562673,9.0,25.0,0.001,0.75,50.0,5.0,0.025,5.0
