,hit-ratio,ndcq,window-size,epochs,sub-sample,negative-sampling-dist,embedding-size,negative-samples-szie,learning-rate,mininum-count
0,0.2795341098169717,0.12423656076601208,7.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
1,0.2801179443976411,0.11566162076048005,9.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
2,0.28176100628930817,0.11682337213149317,7.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
3,0.2838119017894299,0.12099381626270522,5.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
4,0.28936348408710216,0.11994703677133027,5.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
5,0.29451476793248943,0.11773149337930137,9.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
6,0.29529362765514366,0.13118320636983508,3.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
7,0.3060271646859083,0.12487632087943853,3.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
8,0.3081468974250739,0.1269403386848846,7.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
9,0.3092436974789916,0.13115082066283593,9.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
10,0.31073684210526314,0.12797308879832509,9.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
11,0.31340118744698897,0.13110170665327758,5.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
12,0.31407787762088146,0.12004132569761074,9.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
13,0.31816266329540666,0.13322855732373712,7.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
14,0.3280851063829787,0.13400810539618288,3.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
15,0.3282312925170068,0.12781051802311919,9.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
16,0.3286264441591784,0.12981050797489363,5.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
17,0.32904884318766064,0.13079555720450994,7.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
18,0.3291139240506329,0.13899502808440953,3.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
19,0.33204798628963156,0.1309853394564268,7.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
20,0.3323416914577136,0.13496439590936188,5.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
21,0.33276084156290253,0.12791282463005016,3.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
22,0.33375850340136054,0.13750946129352304,5.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
23,0.3513050919982884,0.1409798108618708,3.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
