,hit-ratio,ndcq,window-size,epochs,sub-sample,negative-sampling-dist,embedding-size,negative-samples-size,learning-rate,mininum-count
0,0.16044213067753132,0.05795462906276033,3.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
1,0.16155904858833728,0.05875361476615765,3.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
2,0.1680259779489503,0.060252203135775,3.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
3,0.1699257238138548,0.060071035919791634,3.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
4,0.1725381520006074,0.061217639586614365,3.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
5,0.1781900795153351,0.06384442199233598,3.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
6,0.20172645309802417,0.07137402013713369,5.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
7,0.20279019577616772,0.07127346000732336,5.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
8,0.21081309236023177,0.07629618113653171,5.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
9,0.21762978986402967,0.07788214466102499,5.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
10,0.2192860454334724,0.07974912115495844,5.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
11,0.222265008279102,0.08136973368826392,5.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
12,0.23042496886674968,0.08183446369848785,7.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
13,0.2327522615211399,0.08301470962892005,7.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
14,0.23659809880006233,0.08419306789708601,7.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
15,0.24074362165525826,0.08645957752030367,7.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
16,0.24111487407061388,0.08695178546690785,7.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
17,0.24576534576534576,0.09141029421609256,7.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
18,0.24589011675582803,0.08897903103794565,9.0,100.0,1e-05,-0.5,50.0,5.0,0.025,5.0
19,0.25168073796122575,0.09064043837740184,9.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
20,0.2517698595846208,0.08907139095506329,9.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
21,0.2612315425699026,0.09546105201433304,9.0,100.0,1e-05,0.75,50.0,5.0,0.025,5.0
22,0.26482975792166896,0.09613024055230807,9.0,100.0,0.1,0.75,50.0,5.0,0.025,5.0
23,0.26586244712517626,0.10004049843687464,9.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
