hit-ratio,ndcq,window-size,epochs,sub-sample,negative-sampling-dist,embedding-size,negative-samples-size,learning-rate,mininum-count
0.06512559155442299,0.022746454956794043,3.0,5.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.06624110888199891,0.0253371703961642,3.0,5.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.09021779254337392,0.032904722258578586,3.0,5.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.12155954737274527,0.042424386086178566,3.0,5.0,0.1,0.75,50.0,5.0,0.025,5.0
0.12381558743118234,0.041538499122217284,3.0,5.0,0.001,0.75,50.0,5.0,0.025,5.0
0.13254006981719904,0.04564635247132805,5.0,5.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.13322783617798878,0.0446584341072505,5.0,5.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.1369826937547028,0.046573391262388436,3.0,5.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.14668870440629578,0.05224899959620917,3.0,25.0,0.001,0.75,50.0,5.0,0.025,5.0
0.14796380090497738,0.052322153156521965,3.0,25.0,0.1,0.75,50.0,5.0,0.025,5.0
0.15647774043726165,0.054482661077012634,3.0,25.0,1e-05,0.75,50.0,5.0,0.025,5.0
0.15673993091143756,0.052806898684441834,5.0,5.0,0.1,0.75,50.0,5.0,0.025,5.0
0.15762815142051947,0.05292492187110875,5.0,5.0,1e-05,-0.5,50.0,5.0,0.025,5.0
0.15876939458472772,0.052593242730012285,5.0,5.0,0.001,0.75,50.0,5.0,0.025,5.0
0.16044213067753132,0.057954629062760325,3.0,100.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.1607569494482157,0.056523309604600176,3.0,25.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.16155904858833728,0.05875361476615765,3.0,100.0,0.1,-0.5,50.0,5.0,0.025,5.0
0.16332726168791742,0.05782772237742216,3.0,25.0,0.001,-0.5,50.0,5.0,0.025,5.0
0.1680259779489503,0.060252203135775,3.0,100.0,0.001,0.75,50.0,5.0,0.025,5.0
0.16866369964623987,0.05876496786036916,3.0,25.0,1e-05,-0.5,50.0,5.0,0.025,5.0
